congress,chamber,rollnumber,icpsr,cast_code,prob
85,Senate,3,4922,1,70.48406655602126
85,Senate,3,4979,6,99.87105507544895
85,Senate,3,5009,6,99.98931500072725
85,Senate,3,5122,6,99.8908465096565
85,Senate,3,5180,6,88.95137414702272
85,Senate,3,5213,6,99.95878077008659
85,Senate,3,5343,1,81.52352123359302
85,Senate,3,5372,1,84.11849903286446
85,Senate,3,5452,7,1.9664098926362519
85,Senate,3,5500,1,65.13937435246685
85,Senate,3,5767,6,99.98049692500653
85,Senate,3,5913,4,99.15389752677164
85,Senate,3,5944,6,86.64460882145302
85,Senate,3,5967,6,99.9333209799947
85,Senate,3,6021,1,92.91572926830199
85,Senate,3,6039,1,62.84105158747576
85,Senate,3,6137,1,42.479484662644964
85,Senate,3,6151,6,99.92166276515972
85,Senate,3,6366,6,98.63115814703556
85,Senate,3,6597,6,99.63629640747472
85,Senate,3,6738,4,99.98705297009852
85,Senate,3,6745,1,75.26034162597948
85,Senate,3,6796,6,55.950847716353195
85,Senate,3,6820,6,99.87373910205363
85,Senate,3,6856,4,99.70928561150143
85,Senate,3,6882,6,90.52963207896869
85,Senate,3,7070,6,99.00442698836822
85,Senate,3,7229,6,91.20366306488322
85,Senate,3,7271,1,76.35110159629865
85,Senate,3,7551,1,81.87837682948447
85,Senate,3,7656,3,96.55274718686755
85,Senate,3,7826,1,35.883309891495855
85,Senate,3,7958,6,99.51786834305662
85,Senate,3,8138,6,99.94458001317344
85,Senate,3,8185,1,84.00728513600714
85,Senate,3,8270,6,48.2345854056073
85,Senate,3,8313,6,99.95345159632917
85,Senate,3,8593,4,99.91933129088426
85,Senate,3,8635,1,96.9490106375939
85,Senate,3,8666,1,63.64971971250568
85,Senate,3,8764,6,99.9733678038952
85,Senate,3,8883,6,99.97021767571181
85,Senate,3,9141,6,99.47670123609363
85,Senate,3,9174,6,99.97892403023127
85,Senate,3,9374,1,61.93123541156489
85,Senate,3,9865,1,68.816125687853
85,Senate,3,10110,1,72.60203614624689
85,Senate,3,10163,1,94.23171536693499
85,Senate,3,10450,6,83.70877489728896
85,Senate,3,99369,6,98.96240377515288
85,Senate,3,99901,9,98.25135774925194
85,Senate,4,52,6,26.870612197918852
85,Senate,4,142,1,54.289165932137514
85,Senate,4,165,7,88.84085951373113
85,Senate,4,464,1,54.37756438517782
85,Senate,4,546,6,35.62376675337568
85,Senate,4,645,1,42.357917098098234
85,Senate,4,688,1,90.11304252686591
85,Senate,4,777,1,78.72372927017302
85,Senate,4,1024,6,64.50766424405015
85,Senate,4,1027,4,51.486666660659665
85,Senate,4,1329,6,46.15785418401018
85,Senate,4,1341,6,49.903905984408084
85,Senate,4,1365,6,28.8779906940664
85,Senate,4,1489,7,49.860613406783905
85,Senate,4,1510,1,62.135703826191246
85,Senate,4,1540,1,91.63230801435147
85,Senate,4,1569,6,23.53664044316446
85,Senate,4,1570,1,63.410974516444085
85,Senate,4,1678,3,89.7446182792544
85,Senate,4,1721,1,92.27204891901305
85,Senate,4,1776,1,90.33589038176409
85,Senate,4,2052,1,72.85689816800729
85,Senate,4,2087,6,52.88213866046079
85,Senate,4,2267,6,60.69059636353502
85,Senate,4,2609,1,53.215181564691314
85,Senate,4,2691,1,86.84073106805315
85,Senate,4,2803,1,48.164424899414385
85,Senate,4,2822,1,83.71449654616833
85,Senate,4,2901,1,88.31408475340939
85,Senate,4,2987,1,86.59117717967479
85,Senate,4,3206,7,62.639100540203515
85,Senate,4,3349,7,81.12578973426812
85,Senate,4,3388,1,93.65431094341757
85,Senate,4,3658,1,26.688118943766376
85,Senate,4,3704,1,92.40097051741611
85,Senate,4,3783,1,90.31976276639968
85,Senate,4,4227,1,89.85039979201284
85,Senate,4,4328,1,90.44010989702744
85,Senate,4,4382,1,49.22676829689896
85,Senate,4,4418,1,92.18975206821106
85,Senate,4,4520,1,83.02168523220543
85,Senate,4,4660,7,43.40408480389074
85,Senate,4,4728,3,90.63170462900746
85,Senate,4,4834,7,69.27542444796457
85,Senate,4,4851,1,90.07195229244655
85,Senate,4,4898,1,77.09584239733518
85,Senate,4,4922,6,67.78372823268697
85,Senate,4,4979,1,90.99235633848369
85,Senate,4,5009,1,90.47135548297712
85,Senate,4,5122,3,92.85786940162394
85,Senate,4,5180,1,88.56217424725021
85,Senate,4,5213,1,90.89660284479544
85,Senate,4,5343,1,61.0921581724597
85,Senate,4,5372,1,69.37107259647155
85,Senate,4,5452,7,81.50731687188046
85,Senate,4,5500,1,63.45166579280359
85,Senate,4,5767,1,90.59239835085648
85,Senate,4,5913,3,91.05453157160798
85,Senate,4,5944,1,59.034942426345815
85,Senate,4,5967,1,93.09913238313183
85,Senate,4,6021,6,57.59324284705121
85,Senate,4,6039,1,56.25624060450164
85,Senate,4,6137,1,58.93527818936486
85,Senate,4,6151,1,83.951669067616
85,Senate,4,6366,1,91.6317644582316
85,Senate,4,6597,1,90.81185991932415
85,Senate,4,6738,1,92.52721673636688
85,Senate,4,6745,1,63.641859539346754
85,Senate,4,6796,1,59.85827002046241
85,Senate,4,6820,1,92.80966174813663
85,Senate,4,6856,7,91.85823182877138
85,Senate,4,6882,1,89.70981873019511
85,Senate,4,7070,1,89.7796681810556
85,Senate,4,7229,1,88.13412604161901
85,Senate,4,7271,6,29.563384913141643
85,Senate,4,7551,1,59.37957788064598
85,Senate,4,7656,7,61.55296955724708
85,Senate,4,7826,6,40.04355257814031
85,Senate,4,7958,6,20.112911026790094
85,Senate,4,8138,1,84.62453632496026
85,Senate,4,8185,1,64.55773897469689
85,Senate,4,8270,1,50.37595695715949
85,Senate,4,8313,1,91.63743524896735
85,Senate,4,8593,3,89.25691840167569
85,Senate,4,8635,6,36.87699574445876
85,Senate,4,8666,6,28.843323082130045
85,Senate,4,8764,1,90.95576257281228
85,Senate,4,8883,1,87.16332281002342
85,Senate,4,9141,1,91.2825463981112
85,Senate,4,9174,1,88.37947877309982
85,Senate,4,9374,1,69.76400455957265
85,Senate,4,9865,1,55.20433980157458
85,Senate,4,10110,1,66.04808834020665
85,Senate,4,10163,6,70.55638474280332
85,Senate,4,10450,1,70.07248252665752
85,Senate,4,99369,1,64.95397376802936
85,Senate,4,99901,1,54.19745839042306
85,Senate,5,52,1,
85,Senate,5,142,1,
85,Senate,5,165,1,
85,Senate,5,464,1,
85,Senate,5,546,1,
85,Senate,5,645,1,
85,Senate,5,688,1,
85,Senate,5,777,1,
85,Senate,5,1024,1,
85,Senate,5,1027,3,
85,Senate,5,1329,1,
85,Senate,5,1341,1,
85,Senate,5,1365,1,
85,Senate,5,1489,3,
85,Senate,5,1510,1,
85,Senate,5,1540,1,
85,Senate,5,1569,1,
85,Senate,5,1570,1,
85,Senate,5,1678,1,
85,Senate,5,1721,1,
85,Senate,5,1776,1,
85,Senate,5,2052,1,
85,Senate,5,2087,1,
85,Senate,5,2267,1,
85,Senate,5,2609,1,
85,Senate,5,2691,3,
85,Senate,5,2803,1,
85,Senate,5,2822,3,
