congress,chamber,rollnumber,icpsr,cast_code,prob
84,Senate,4,464,6,96.94182552877143
84,Senate,4,546,6,96.76718976562172
84,Senate,4,621,6,97.2578488416466
84,Senate,4,645,6,97.92012449339154
84,Senate,4,688,6,71.87528809067344
84,Senate,4,1024,4,97.85649275932975
84,Senate,4,1027,6,97.92938441445119
84,Senate,4,1329,6,97.96613488597727
84,Senate,4,1341,6,97.50184663723735
84,Senate,4,1365,1,7.768113848375896
84,Senate,4,1489,6,97.52908140919624
84,Senate,4,1510,6,96.67542809060336
84,Senate,4,1569,6,91.11797832238166
84,Senate,4,1570,6,95.90738470532185
84,Senate,4,1678,4,73.09003079778162
84,Senate,4,1831,6,69.95007591949536
84,Senate,4,2087,6,97.7803505044926
84,Senate,4,2267,6,97.38157568804684
84,Senate,4,2326,6,84.80941943136719
84,Senate,4,2609,6,97.74526947247557
84,Senate,4,2691,6,42.325467302959964
84,Senate,4,2745,6,95.82589975971085
84,Senate,4,2803,6,97.0118013777434
84,Senate,4,2822,6,81.98026537438439
84,Senate,4,2901,6,74.95984915629928
84,Senate,4,2987,6,78.22344998036532
84,Senate,4,3206,4,97.11457431445865
84,Senate,4,3349,4,88.1859213842371
84,Senate,4,3388,1,52.664584312290174
84,Senate,4,3536,6,84.37219947841726
84,Senate,4,3658,6,97.7828956174403
84,Senate,4,3704,6,57.773636154440446
84,Senate,4,3783,6,63.63150938351028
84,Senate,4,4227,6,72.37429160573468
84,Senate,4,4328,6,62.07091150244466
84,Senate,4,4382,6,97.70282544397871
84,Senate,4,4418,6,60.98372610514967
84,Senate,4,4520,6,85.84964097968215
84,Senate,4,4660,6,97.43668401724725
84,Senate,4,4728,1,42.45134827782063
84,Senate,4,4834,6,95.53883103614774
84,Senate,4,4851,6,67.89367122467226
84,Senate,4,4922,6,97.40939038256846
84,Senate,4,4979,5,67.6959590775155
84,Senate,4,5009,6,68.85126715866626
84,Senate,4,5122,1,52.500805869173504
84,Senate,4,5180,2,29.955698757793986
84,Senate,4,5213,6,68.36621106301826
84,Senate,4,5240,1,55.02958760106631
84,Senate,4,5343,6,97.08766649533392
84,Senate,4,5372,6,95.8217823203543
84,Senate,4,5452,1,11.903568358291345
84,Senate,4,5591,1,72.23026562751586
84,Senate,4,5767,1,30.878737092052955
84,Senate,4,5913,6,63.01557938985837
84,Senate,4,5944,6,95.06057383789312
84,Senate,4,5967,1,54.43102765754375
84,Senate,4,6021,6,98.10971914850673
84,Senate,4,6039,6,97.07713126197024
84,Senate,4,6137,4,96.45539803303568
84,Senate,4,6151,6,82.08636975822171
84,Senate,4,6366,1,64.96358051809413
84,Senate,4,6525,6,96.58827598508046
84,Senate,4,6597,6,67.59251560447778
84,Senate,4,6738,1,90.91240947690616
84,Senate,4,6796,6,96.43955981537034
84,Senate,4,6820,1,52.62380207313859
84,Senate,4,6856,4,58.72190452471426
84,Senate,4,6882,1,57.857982903140346
84,Senate,4,7070,6,72.04635560169974
84,Senate,4,7229,6,74.73068436943745
84,Senate,4,7271,6,95.51785339293308
84,Senate,4,7551,4,97.23951868640789
84,Senate,4,7656,6,97.26071679962901
84,Senate,4,7958,6,87.26389958378587
84,Senate,4,8138,6,80.95930506591061
84,Senate,4,8185,6,96.72976575158594
84,Senate,4,8270,6,97.0251395992951
84,Senate,4,8313,6,64.3632239113505
84,Senate,4,8593,6,74.49362691231677
84,Senate,4,8635,6,97.04551655175425
84,Senate,4,8666,6,95.233604156187
84,Senate,4,8764,6,67.92137687956689
84,Senate,4,8883,6,77.2528090841049
84,Senate,4,9141,6,62.74089477006004
84,Senate,4,9374,6,95.55049127343578
84,Senate,4,9865,6,97.24864032477555
84,Senate,4,9930,6,96.36289533906933
84,Senate,4,10110,6,96.36521161813151
84,Senate,4,10163,6,98.03834092070383
84,Senate,4,10450,6,94.24950562756099
84,Senate,4,99369,6,90.8880672084895
84,Senate,4,99901,6,97.92720720442941
84,Senate,5,52,1,99.06224582121128
84,Senate,5,142,1,99.37338988170946
84,Senate,5,165,1,94.94332748214983
84,Senate,5,437,1,87.89700878101301
84,Senate,5,464,1,99.15025641186871
84,Senate,5,546,1,99.33969054293205
84,Senate,5,621,1,99.39349739351485
84,Senate,5,645,1,99.2313652620129
84,Senate,5,688,1,93.506812366729
84,Senate,5,1024,3,99.03066267117485
84,Senate,5,1027,1,99.36003150218164
84,Senate,5,1329,1,99.44386435599345
84,Senate,5,1341,1,99.24722891155982
84,Senate,5,1365,1,98.12297626715186
84,Senate,5,1489,1,99.25169152688805
84,Senate,5,1510,1,99.26176009581333
84,Senate,5,1569,1,98.29447548245864
84,Senate,5,1570,1,99.06000175732399
